index,type1_lam,type1_lam_new,type_1_mu,type_1_mu_new,number of cycles,time,num of packets,Cycle_len,CI,halfCI,RE,time,num response,CI,halfCI,RE,response time,CI,halfCI,RE,gamma,num sample mean,CI,halfCI,RE,time,prob,CI,halfCI,RE,ratio_flow1,likelihood_1,variance_1,conditional_ratio1,ratio_flow2,likelihood_2,variance_2,conditional_ratio2,ratio_flow3,likelihood_3,variance_3,conditional_ratio3,ratio_flow4,likelihood_4,variance_4,conditional_ratio4,ratio_flow5,likelihood_5,variance_5,conditional_ratio5,ratio_flow6,likelihood_6,variance_6,conditional_ratio6,ratio_flow7,likelihood_7,variance_7,conditional_ratio7,ratio_flow8,likelihood_8,variance_8,conditional_ratio8,total_ratio,total_var,type2_lam,type2_lam_new,type_2_mu,type_2_mu_new,number of cycles,time,num of packets,Cycle_len,CI,halfCI,RE,time,num response,CI,halfCI,RE,response time,CI,halfCI,RE,gamma,num sample mean,CI,halfCI,RE,time,prob,CI,halfCI,RE,ratio_flow1,likelihood_1,variance_1,conditional_ratio1,ratio_flow2,likelihood_2,variance_2,conditional_ratio2,ratio_flow3,likelihood_3,variance_3,conditional_ratio3,ratio_flow4,likelihood_4,variance_4,conditional_ratio4,ratio_flow5,likelihood_5,variance_5,conditional_ratio5,ratio_flow6,likelihood_6,variance_6,conditional_ratio6,ratio_flow7,likelihood_7,variance_7,conditional_ratio7,ratio_flow8,likelihood_8,variance_8,conditional_ratio8,total_ratio,total_var,type3_lam,type3_lam_new,type_3_mu,type_3_mu_new,number of cycles,time,num of packets,Cycle_len,CI,halfCI,RE,time,num response,CI,halfCI,RE,response time,CI,halfCI,RE,gamma,num sample mean,CI,halfCI,RE,time,prob,CI,halfCI,RE,ratio_flow1,likelihood_1,variance_1,conditional_ratio1,ratio_flow2,likelihood_2,variance_2,conditional_ratio2,ratio_flow3,likelihood_3,variance_3,conditional_ratio3,ratio_flow4,likelihood_4,variance_4,conditional_ratio4,ratio_flow5,likelihood_5,variance_5,conditional_ratio5,ratio_flow6,likelihood_6,variance_6,conditional_ratio6,ratio_flow7,likelihood_7,variance_7,conditional_ratio7,ratio_flow8,likelihood_8,variance_8,conditional_ratio8,total_ratio,total_var,type4_lam,type4_lam_new,type_4_mu,type_4_mu_new,number of cycles,time,num of packets,Cycle_len,CI,halfCI,RE,time,num response,CI,halfCI,RE,response time,CI,halfCI,RE,gamma,num sample mean,CI,halfCI,RE,time,prob,CI,halfCI,RE,ratio_flow1,likelihood_1,variance_1,conditional_ratio1,ratio_flow2,likelihood_2,variance_2,conditional_ratio2,ratio_flow3,likelihood_3,variance_3,conditional_ratio3,ratio_flow4,likelihood_4,variance_4,conditional_ratio4,ratio_flow5,likelihood_5,variance_5,conditional_ratio5,ratio_flow6,likelihood_6,variance_6,conditional_ratio6,ratio_flow7,likelihood_7,variance_7,conditional_ratio7,ratio_flow8,likelihood_8,variance_8,conditional_ratio8,total_ratio,total_var,type5_lam,type5_lam_new,type_5_mu,type_5_mu_new,number of cycles,time,num of packets,Cycle_len,CI,halfCI,RE,time,num response,CI,halfCI,RE,response time,CI,halfCI,RE,gamma,num sample mean,CI,halfCI,RE,time,prob,CI,halfCI,RE,ratio_flow1,likelihood_1,variance_1,conditional_ratio1,ratio_flow2,likelihood_2,variance_2,conditional_ratio2,ratio_flow3,likelihood_3,variance_3,conditional_ratio3,ratio_flow4,likelihood_4,variance_4,conditional_ratio4,ratio_flow5,likelihood_5,variance_5,conditional_ratio5,ratio_flow6,likelihood_6,variance_6,conditional_ratio6,ratio_flow7,likelihood_7,variance_7,conditional_ratio7,ratio_flow8,likelihood_8,variance_8,conditional_ratio8,total_ratio,total_var,type6_lam,type6_lam_new,type_6_mu,type_6_mu_new,number of cycles,time,num of packets,Cycle_len,CI,halfCI,RE,time,num response,CI,halfCI,RE,response time,CI,halfCI,RE,gamma,num sample mean,CI,halfCI,RE,time,prob,CI,halfCI,RE,ratio_flow1,likelihood_1,variance_1,conditional_ratio1,ratio_flow2,likelihood_2,variance_2,conditional_ratio2,ratio_flow3,likelihood_3,variance_3,conditional_ratio3,ratio_flow4,likelihood_4,variance_4,conditional_ratio4,ratio_flow5,likelihood_5,variance_5,conditional_ratio5,ratio_flow6,likelihood_6,variance_6,conditional_ratio6,ratio_flow7,likelihood_7,variance_7,conditional_ratio7,ratio_flow8,likelihood_8,variance_8,conditional_ratio8,total_ratio,total_var,type7_lam,type7_lam_new,type_7_mu,type_7_mu_new,number of cycles,time,num of packets,Cycle_len,CI,halfCI,RE,time,num response,CI,halfCI,RE,response time,CI,halfCI,RE,gamma,num sample mean,CI,halfCI,RE,time,prob,CI,halfCI,RE,ratio_flow1,likelihood_1,variance_1,conditional_ratio1,ratio_flow2,likelihood_2,variance_2,conditional_ratio2,ratio_flow3,likelihood_3,variance_3,conditional_ratio3,ratio_flow4,likelihood_4,variance_4,conditional_ratio4,ratio_flow5,likelihood_5,variance_5,conditional_ratio5,ratio_flow6,likelihood_6,variance_6,conditional_ratio6,ratio_flow7,likelihood_7,variance_7,conditional_ratio7,ratio_flow8,likelihood_8,variance_8,conditional_ratio8,total_ratio,total_var,type8_lam,type8_lam_new,type_8_mu,type_8_mu_new,number of cycles,time,num of packets,Cycle_len,CI,halfCI,RE,time,num response,CI,halfCI,RE,response time,CI,halfCI,RE,gamma,num sample mean,CI,halfCI,RE,time,prob,CI,halfCI,RE,ratio_flow1,likelihood_1,variance_1,conditional_ratio1,ratio_flow2,likelihood_2,variance_2,conditional_ratio2,ratio_flow3,likelihood_3,variance_3,conditional_ratio3,ratio_flow4,likelihood_4,variance_4,conditional_ratio4,ratio_flow5,likelihood_5,variance_5,conditional_ratio5,ratio_flow6,likelihood_6,variance_6,conditional_ratio6,ratio_flow7,likelihood_7,variance_7,conditional_ratio7,ratio_flow8,likelihood_8,variance_8,conditional_ratio8,total_ratio,total_var
0,0.1,0.121149524,1,0.80422564,100000,82.82532525,3237251,0.631074541,"[0.6202,0.642]",0.010888181,0.008802755,82.8613255,1.209337945,"[1.195,1.223]",0.014092127,0.005945286,1.934136112,"[1.893,1.975]",0.041082741,0.01083718,10,0.000328973,"[0.000288,0.00037]",4.10E-05,0.063616053,82.92732453,0.000526138,"[0.0004599,0.0005924]",6.63E-05,0.064258387,0.00087,0.064827476,0.007737133,0.572368421,8.00E-05,0.021262979,0.000272735,0.052631579,9.00E-05,0.0109055,0.000354101,0.059210526,9.00E-05,0.043243585,0.001634722,0.059210526,0.00016,0.018750121,0.000498326,0.105263158,4.00E-05,0.056033198,0.004989436,0.026315789,8.00E-05,0.023000809,0.000386359,0.052631579,0.00011,0.024202258,0.000769054,0.072368421,0.00152,4.38E-05,0.1,0.122143431,1,0.812396169,100000,87.8857429,3237251,0.628482112,"[0.6172,0.6398]",0.011285997,0.009162014,87.92374182,1.359435697,"[1.344,1.375]",0.015934933,0.005980472,2.18780388,"[2.141,2.234]",0.046695137,0.010889481,10,0.002114378,"[0.00199,0.002239]",0.00012474,0.030099935,88.01240849,0.003402768,"[0.003193,0.003612]",0.000209724,0.03144566,0.01478,0.069454922,0.010291262,0.897389192,0.00156,0.112468878,0.021368857,0.094717668,3.00E-05,0.002321194,5.93E-06,0.001821494,4.00E-05,0.082001319,0.002183536,0.002428658,1.00E-05,0.026938976,0,0.000607165,2.00E-05,0.111663748,0.010572482,0.001214329,0,nan,nan,0,3.00E-05,0.04747097,0.00369208,0.001821494,0.01647,0.000405039,0.1,0.118214801,1,0.80608555,100000,92.88934708,3237251,0.635438912,"[0.6241,0.6468]",0.011322783,0.009091244,92.92534304,1.54971682,"[1.531,1.569]",0.018902727,0.006223233,2.494112528,"[2.441,2.548]",0.053507837,0.010945744,10,0.007736863,"[0.007453,0.008021]",0.000283819,0.018716303,92.99844146,0.012451698,"[0.01194,0.01296]",0.000506893,0.02076978,0.01359,0.106663011,0.020299781,0.227447699,0.04441,0.09605054,0.018618314,0.743263598,0.00171,0.153242592,0.041007832,0.028619247,2.00E-05,0.042424942,0.001068315,0.000334728,0,nan,nan,0,0,nan,nan,0,2.00E-05,0.014665837,3.46E-05,0.000334728,0,nan,nan,0,0.05975,0.002096862,0.1,0.119235022,1,0.802564833,100000,97.90764689,3237251,0.630790225,"[0.6193,0.6423]",0.011526924,0.009323359,97.94562793,1.845812242,"[1.823,1.869]",0.022793645,0.00630043,2.969835633,"[2.905,3.034]",0.064395992,0.011062935,10,0.020240547,"[0.01973,0.02075]",0.000514286,0.012963618,98.02057123,0.032566203,"[0.03156,0.03358]",0.001010749,0.015835081,0.01391,0.16032503,0.032405417,0.118081494,0.02399,0.156047373,0.031405779,0.203650255,0.07785,0.150245063,0.033264638,0.660865874,0.00205,0.227156086,0.053459354,0.017402377,0,nan,nan,0,0,nan,nan,0,0,nan,nan,0,0,nan,nan,0,0.1178,0.006884889,0.1,0.135409919,1,0.772143365,100000,102.8821137,3237251,0.632857034,"[0.6228,0.6429]",0.010065775,0.008114944,102.9191151,2.345036313,"[2.318,2.372]",0.027106067,0.005897404,3.749178731,"[3.67,3.828]",0.079188281,0.010776276,10,0.045259126,"[0.04442,0.0461]",0.000842042,0.009492302,102.9841056,0.07235903,"[0.0705,0.07422]",0.001857041,0.01309401,0.01395,0.260352083,0.052888684,0.081199069,0.01834,0.263087493,0.049375353,0.106752037,0.02853,0.270774512,0.059963367,0.166065192,0.10945,0.243065147,0.049049829,0.637077998,0.00153,0.35779708,0.092671024,0.008905704,0,nan,nan,0,0,nan,nan,0,0,nan,nan,0,0.1718,0.018456756,0.1,0.108549527,1,0.831206637,100000,107.8230903,3237251,0.628498299,"[0.6165,0.6405]",0.011986082,0.009730095,107.8680863,3.152043366,"[3.107,3.197]",0.045313242,0.007334608,5.086894593,"[4.971,5.203]",0.116132822,0.011647861,10,0.086118878,"[0.08444,0.0878]",0.001681043,0.009959197,107.9263783,0.138982116,"[0.1353,0.1426]",0.003665464,0.013455938,0.01024,0.506173199,0.259970935,0.05657146,0.01264,0.486704974,0.216923893,0.069830396,0.01609,0.536378442,0.305344613,0.088890117,0.02296,0.545951499,0.285899097,0.126843821,0.11854,0.429479647,0.192295663,0.654880946,0.00054,1.217575393,0.638759815,0.002983261,0,nan,nan,0,0,nan,nan,0,0.18101,0.073560625,0.1,0.111404512,1,0.817173462,100000,112.7523234,3237251,0.632068123,"[0.6201,0.6441]",0.012014975,0.009698463,112.7963994,4.832335195,"[4.755,4.91]",0.077379002,0.008169773,7.78956605,"[7.603,7.976]",0.186215467,0.012196814,10,0.149581826,"[0.1467,0.1525]",0.002930049,0.009994016,112.8785436,0.241121003,"[0.2347,0.2475]",0.006373894,0.013486948,0.00883,0.772667628,0.690512105,0.044892979,0.01045,0.781598857,0.651405306,0.05312929,0.01155,0.795213839,0.708466401,0.058721847,0.01421,0.82970348,0.708677794,0.072245666,0.02579,0.782474895,0.609841843,0.131120037,0.12559,0.720053485,0.687568016,0.638517464,0.00027,1.64200213,0.615910706,0.001372718,0,nan,nan,0,0.19669,0.223479534,0.1,0.110609442,1,0.760212274,100000,117.4396031,3237251,0.629379533,"[0.6169,0.6418]",0.012436442,0.010081554,117.4796553,9.057573648,"[8.85,9.265]",0.207201692,0.011671464,14.63377276,"[14.21,15.06]",0.423449413,0.014763494,10,0.236901846,"[0.2313,0.2426]",0.005648446,0.012164785,117.5622809,0.382747954,"[0.3714,0.3941]",0.011370201,0.01515651,0.00784,1.125821378,2.172725154,0.03731734,0.00901,1.26012577,5.551298815,0.042886382,0.0096,1.160830816,2.550228853,0.045694702,0.01128,1.209188853,3.049126087,0.053691275,0.01504,1.078946535,1.802231709,0.071588367,0.02154,1.326086913,3.021977452,0.102527488,0.13559,1.060297533,2.963819329,0.645390071,0.00019,2.329459321,5.022975836,0.000904374,0.21009,0.830511744
1,0.1,0.121149524,1,0.80422564,100000,84.28164077,3244723,0.627643063,"[0.6165,0.6388]",0.011158005,0.009070219,207.5514591,1.206191842,"[1.192,1.22]",0.014050121,0.005943026,1.929104439,"[1.888,1.97]",0.040971175,0.01083594,10,0.000389738,"[0.0003436,0.0004359]",4.61E-05,0.060389091,207.628181,0.000623322,"[0.0005487,0.0006979]",7.46E-05,0.061065346,0.00079,0.093293696,0.013494816,0.564285714,5.00E-05,0.005064539,3.51E-05,0.035714286,8.00E-05,0.004437493,9.58E-06,0.057142857,0.00011,0.027819537,0.001683129,0.078571429,0.00014,0.032606939,0.001355285,0.1,7.00E-05,0.090197056,0.003929548,0.05,7.00E-05,0.059125347,0.003052431,0.05,9.00E-05,0.029375371,0.000670321,0.064285714,0.0014,5.54E-05,0.1,0.122143431,1,0.812396169,100000,89.17843819,3244723,0.630462019,"[0.6194,0.6415]",0.011070194,0.008958602,212.4522538,1.349984763,"[1.334,1.366]",0.015749621,0.005952305,2.172594046,"[2.126,2.219]",0.046304741,0.010874037,10,0.002180881,"[0.002048,0.002314]",0.00013295,0.031102922,212.5390289,0.003509794,"[0.003287,0.003733]",0.000222934,0.032407033,0.01527,0.070858797,0.011408563,0.901416765,0.00157,0.102138144,0.020527418,0.092680047,2.00E-05,0.088443385,3.76E-05,0.001180638,1.00E-05,0.011271701,0,0.000590319,2.00E-05,0.026578335,0.000399503,0.001180638,3.00E-05,0.091598382,0.008930389,0.001770956,0,nan,nan,0,2.00E-05,0.09958744,0.003492844,0.001180638,0.01694,0.000460115,0.1,0.118214801,1,0.80608555,100000,93.74631262,3244723,0.626645967,"[0.6153,0.638]",0.011359139,0.00924841,217.0213189,1.540618151,"[1.522,1.559]",0.018820867,0.006232877,2.479469141,"[2.426,2.533]",0.053220344,0.01095123,10,0.007665477,"[0.007383,0.007948]",0.00028223,0.018784873,217.1081958,0.012336809,"[0.01183,0.01284]",0.000503711,0.020831593,0.01307,0.101414334,0.021051006,0.220851639,0.04395,0.096887267,0.018418292,0.742649544,0.00214,0.127538214,0.028500161,0.036160865,1.00E-05,0.012144385,0,0.000168976,0,nan,nan,0,0,nan,nan,0,1.00E-05,0.232787381,0,0.000168976,0,nan,nan,0,0.05918,0.002073456,0.1,0.119235022,1,0.802564833,100000,98.31599712,3244723,0.629895213,"[0.6185,0.6413]",0.011404222,0.00923722,221.5898139,1.836668409,"[1.814,1.86]",0.022945706,0.006374037,2.955123582,"[2.891,3.019]",0.064320745,0.01110502,10,0.020242734,"[0.01971,0.02078]",0.00053277,0.013428106,221.6795437,0.032569722,"[0.03153,0.0336]",0.001035273,0.016217538,0.01498,0.158809696,0.033191088,0.126670049,0.02349,0.161875958,0.052170084,0.198630137,0.07773,0.148743429,0.033665265,0.657280568,0.00206,0.212050985,0.060131996,0.017419246,0,nan,nan,0,0,nan,nan,0,0,nan,nan,0,0,nan,nan,0,0.11826,0.007388696,0.1,0.135409919,1,0.772143365,100000,102.8642581,3244723,0.632457607,"[0.6222,0.6427]",0.010243246,0.008263235,226.1400111,2.347785099,"[2.321,2.375]",0.02709856,0.005888868,3.753573414,"[3.674,3.833]",0.079246753,0.010771607,10,0.045393811,"[0.04455,0.04624]",0.000842784,0.009472472,226.2340143,0.072574361,"[0.07071,0.07443]",0.001860523,0.013079642,0.01431,0.260014709,0.054555201,0.083168662,0.01757,0.264753978,0.057171254,0.102115541,0.02804,0.26751826,0.053564818,0.162966407,0.11062,0.24388772,0.049657346,0.642915262,0.00152,0.336800911,0.079447736,0.008834128,0,nan,nan,0,0,nan,nan,0,0,nan,nan,0,0.17206,0.018489278,0.1,0.108549527,1,0.831206637,100000,107.4578285,3244723,0.629343398,"[0.6173,0.6414]",0.012068896,0.009784165,230.7398834,3.154030614,"[3.109,3.199]",0.045179442,0.007308342,5.090101694,"[4.974,5.206]",0.116041213,0.011631339,10,0.086237022,"[0.08454,0.08793]",0.001694921,0.010027664,230.846787,0.139172781,"[0.1355,0.1429]",0.003684337,0.013506691,0.01057,0.487181799,0.235121136,0.058208051,0.013,0.514987169,0.272530753,0.071589845,0.01448,0.520607798,0.245354567,0.079740074,0.02282,0.561177581,0.29346753,0.125667713,0.1203,0.429298199,0.206991701,0.662481414,0.00042,1.13347988,0.420946209,0.002312903,0,nan,nan,0,0,nan,nan,0,0.18159,0.074780267,0.1,0.111404512,1,0.817173462,100000,111.9815526,3244723,0.628894215,"[0.6166,0.6412]",0.012286509,0.009967697,235.259146,4.848016539,"[4.77,4.926]",0.07828985,0.008239205,7.814843864,"[7.627,8.002]",0.187533778,0.012243431,10,0.150437302,"[0.1474,0.1534]",0.002993721,0.010153126,235.3531468,0.242500003,"[0.236,0.249]",0.006466586,0.013605272,0.00926,0.817045203,0.68729288,0.046788944,0.01033,0.770362316,0.695728756,0.052195442,0.01204,0.799469545,0.867553537,0.060835733,0.01447,0.829637776,0.750140677,0.073114042,0.02633,0.772873987,0.556457688,0.133040271,0.12525,0.719092277,0.741262554,0.632863423,0.00023,1.87742704,1.92635842,0.001162144,0,nan,nan,0,0.19791,0.23329779,0.1,0.110609442,1,0.760212274,100000,116.4849257,3244723,0.630077492,"[0.618,0.6421]",0.012063025,0.009768012,239.762748,9.055993738,"[8.845,9.267]",0.210549437,0.011862109,14.63122019,"[14.2,15.06]",0.427710814,0.014914669,10,0.236639093,"[0.2311,0.2422]",0.005560788,0.011989299,239.8550744,0.382323439,"[0.3711,0.3936]",0.011252319,0.015016027,0.00814,1.088242648,2.739326367,0.038596491,0.00898,1.128277066,2.607502249,0.042579422,0.00964,1.205974469,2.974605956,0.045708867,0.01153,1.177419476,2.91539811,0.05467046,0.01522,1.19461733,2.774746223,0.072166904,0.02107,1.314022905,3.196870586,0.099905168,0.13616,1.053089214,2.787987033,0.645614035,0.00016,1.681009204,1.612595468,0.000758653,0.2109,0.804934595
2,0.1,0.121149524,1,0.80422564,100000,86.8174355,3252907,0.628664117,"[0.6173,0.6401]",0.011388908,0.009242881,331.8568473,1.197739451,"[1.184,1.212]",0.013793763,0.005875764,1.915586239,"[1.875,1.956]",0.040546112,0.010799196,10,0.000399048,"[0.0003495,0.0004486]",4.96E-05,0.063357878,331.9145634,0.000638211,"[0.0005582,0.0007183]",8.01E-05,0.064002801,0.00096,0.075991598,0.010651643,0.662068966,6.00E-05,0.078277896,0.008067145,0.04137931,7.00E-05,0.046445165,0.00456331,0.048275862,5.00E-05,0.028112262,0.000252781,0.034482759,0.00016,0.022633375,0.000879753,0.110344828,5.00E-05,0.018508846,0.000477874,0.034482759,3.00E-05,0.003610704,2.54E-05,0.020689655,7.00E-05,0.048326022,0.002609995,0.048275862,0.00145,6.39E-05,0.1,0.122143431,1,0.812396169,100000,91.36565542,3252907,0.630652538,"[0.6191,0.6422]",0.011520692,0.009320353,336.4040074,1.341033215,"[1.325,1.357]",0.01567201,0.00596251,2.158187899,"[2.112,2.204]",0.046021345,0.010879626,10,0.002060855,"[0.001938,0.002184]",0.00012276,0.030391512,336.4666424,0.003316631,"[0.00311,0.003523]",0.000206231,0.031724874,0.01574,0.061848906,0.008736607,0.903559127,0.00159,0.086680779,0.013752292,0.091274397,2.00E-05,0.051258589,4.59E-05,0.001148106,0,nan,nan,0,3.00E-05,0.00180615,1.18E-06,0.001722158,1.00E-05,0.100668138,0,0.000574053,2.00E-05,0.036780698,0.00135162,0.001148106,1.00E-05,0.094921829,0,0.000574053,0.01742,0.000392283,0.1,0.118214801,1,0.80608555,100000,95.90681767,3252907,0.628624385,"[0.6168,0.6405]",0.011856839,0.009623247,340.9503169,1.530903366,"[1.512,1.55]",0.018672432,0.006222961,2.463834177,"[2.411,2.517]",0.052857508,0.010945589,10,0.007722932,"[0.007441,0.008005]",0.000281826,0.018618392,341.0117879,0.012429279,"[0.01193,0.01293]",0.000503832,0.020681593,0.01337,0.101926449,0.018923958,0.223391813,0.04411,0.095491332,0.018732234,0.73700919,0.00236,0.139395819,0.026894636,0.039431913,0,nan,nan,0,0,nan,nan,0,0,nan,nan,0,0,nan,nan,0,1.00E-05,0.150564245,0,0.000167084,0.05985,0.002067516,0.1,0.119235022,1,0.802564833,100000,100.4205616,3252907,0.630963806,"[0.6192,0.6427]",0.011779928,0.009525376,345.4621131,1.841366959,"[1.819,1.864]",0.022775211,0.006310532,2.962683355,"[2.898,3.027]",0.064274334,0.011068691,10,0.020567077,"[0.02003,0.0211]",0.00053698,0.013320785,345.5203199,0.033091578,"[0.03205,0.03414]",0.001046105,0.016128788,0.01501,0.166226628,0.040772019,0.126805778,0.02336,0.156724982,0.036150386,0.197347301,0.07814,0.152405698,0.036762066,0.66013348,0.00186,0.225028819,0.072842608,0.015713441,0,nan,nan,0,0,nan,nan,0,0,nan,nan,0,0,nan,nan,0,0.11837,0.007505935,0.1,0.135409919,1,0.772143365,100000,105.0390346,3252907,0.629589892,"[0.6189,0.6403]",0.010667982,0.008645069,350.0833869,2.321496791,"[2.295,2.348]",0.026757042,0.005880496,3.711544399,"[3.633,3.79]",0.078326143,0.010767032,10,0.044686968,"[0.04385,0.04552]",0.000835291,0.009536755,350.1475487,0.07144428,"[0.06961,0.07328]",0.001838082,0.013126271,0.01387,0.263639374,0.053329311,0.080630159,0.01788,0.258369677,0.048394168,0.103941402,0.0285,0.262351831,0.054509823,0.165678409,0.11012,0.241629602,0.05044034,0.640158121,0.00165,0.315564402,0.072554675,0.009591908,0,nan,nan,0,0,nan,nan,0,0,nan,nan,0,0.17202,0.018161972,0.1,0.108549527,1,0.831206637,100000,109.5058339,3252907,0.627591118,"[0.6149,0.6403]",0.012733097,0.01035145,354.5472424,3.109233039,"[3.065,3.153]",0.044050694,0.007228421,5.017805563,"[4.904,5.132]",0.1139008,0.011581288,10,0.085326021,"[0.08367,0.08698]",0.001654323,0.00989197,354.6092393,0.137702571,"[0.1341,0.1413]",0.003618309,0.013406256,0.01051,0.49489433,0.219601451,0.05774408,0.01253,0.508321379,0.237407469,0.068842371,0.01588,0.506478139,0.24439741,0.087247953,0.02306,0.547254873,0.305193131,0.126696335,0.11954,0.424318272,0.186436348,0.6567771,0.00049,0.919856176,0.301223339,0.00269216,0,nan,nan,0,0,nan,nan,0,0.18201,0.07124077,0.1,0.111404512,1,0.817173462,100000,114.0045214,3252907,0.629463474,"[0.6173,0.6416]",0.012160367,0.00985644,359.0469298,4.788293393,"[4.712,4.864]",0.076098776,0.008108506,7.718572109,"[7.535,7.902]",0.183898739,0.012155861,10,0.148421134,"[0.1455,0.1513]",0.002910756,0.01000585,359.1119375,0.239250007,"[0.2329,0.2456]",0.006328548,0.01349572,0.00851,0.767740515,0.729384599,0.043132286,0.01042,0.724719043,0.609348382,0.052812975,0.01168,0.823630265,0.769005589,0.059199189,0.01414,0.824741133,0.754950287,0.071667511,0.0266,0.751448568,0.546944277,0.134820071,0.12558,0.71393157,0.67108045,0.636492651,0.00037,2.100399815,2.472689191,0.001875317,0,nan,nan,0,0.1973,0.220546127,0.1,0.110609442,1,0.760212274,100000,118.5738649,3252907,0.632440102,"[0.6199,0.645]",0.012581804,0.010150033,363.6162162,8.892346758,"[8.695,9.089]",0.197008718,0.011303501,14.36682569,"[13.96,14.77]",0.407582834,0.014474347,10,0.234871157,"[0.2294,0.2404]",0.005490762,0.01192743,363.679399,0.379467093,"[0.3683,0.3906]",0.011131546,0.014966674,0.00854,1.161683329,3.253692205,0.040533485,0.00913,1.122030062,2.76023813,0.043333808,0.01018,1.291012145,4.58778319,0.048317433,0.01126,1.119706761,1.942576551,0.053443448,0.01555,1.102252646,2.171835728,0.073805117,0.02142,1.298174325,2.743044551,0.101665955,0.13445,1.046539154,2.716800905,0.638141345,0.00016,2.589615025,2.096145259,0.00075941,0.21069,0.784789386
