index,lam1,lam1_tilt,mu1,mu1_tilt,lam2,lam2_tilt,mu2,mu2_tilt,lam3,lam3_tilt,mu3,mu3_tilt,lam4,lam4_tilt,mu4,mu4_tilt,lam5,lam5_tilt,mu5,mu5_tilt,lam6,lam6_tilt,mu6,mu6_tilt,lam7,lam7_tilt,mu7,mu7_tilt,lam8,lam8_tilt,mu8,mu8_tilt,test_cycles,time,n_packets,gamma,num_mean,num_CI,num_halfCI,num_RE,time,prob_mean,prob_CI,prob_halfCI,prob_RE
0,0.05,0.10185212853737761,1.0,0.34097023899065176,0.05,0.19916833817379384,1.0,0.2558129312264541,0.05,0.052612610766365156,1.0,0.33275599015883656,0.05,0.05635593310924054,1.0,0.31462689611659006,0.05,0.05806625992013773,1.0,0.36913379882930397,0.05,0.04776348027839525,1.0,0.280144797943858,0.05,0.05479551939158909,1.0,0.2628175904889476,0.05,0.053939667573309646,1.0,0.27694901505731223,100000,34.04720854759216,1310906,9.454103708267212,0.00024058380655571216,"[0.0002278,0.0002534]",1.2788725022833811e-05,0.027120943005016794,153.36384844779968,0.0011545436536889919,"[0.001093,0.001216]",6.137252180978198e-05,0.027121114933497933
1,0.05,0.10591335785726973,1.0,0.37642297097750627,0.05,0.19468784811966353,1.0,0.24867494822967814,0.05,0.05176343609751167,1.0,0.34161831599747816,0.05,0.05698509111486225,1.0,0.3075821336834293,0.05,0.058292293932031156,1.0,0.3241132781099704,0.05,0.050812608690031326,1.0,0.2805644107903937,0.05,0.055384071314530006,1.0,0.2713499827598291,0.05,0.055823033118024744,1.0,0.30409123128202675,100000,34.578091621398926,1337541,9.454103708267212,0.00023477178885163318,"[0.0002256,0.0002439]",9.124316767850541e-06,0.019828888640485473,188.14536547660828,0.0011266522163913676,"[0.001083,0.00117]",4.37872408596591e-05,0.01982903746604774
2,0.05,0.11160266853741409,1.0,0.3637484494195663,0.05,0.1987223007350961,1.0,0.24852511233199867,0.05,0.05360865032383765,1.0,0.3366227124129296,0.05,0.056516248040598446,1.0,0.29558153757292566,0.05,0.057573726813824166,1.0,0.3309764897048818,0.05,0.05037404637555259,1.0,0.2857319146718562,0.05,0.05643381721365801,1.0,0.2686360410983336,0.05,0.05396386931050746,1.0,0.24051318593552798,100000,35.21324276924133,1357277,9.454103708267212,0.00023256316119771178,"[0.0002221,0.000243]",1.0473450681614997e-05,0.02297697218690387,223.55697417259216,0.001116053177837181,"[0.001066,0.001166]",5.0261649832501644e-05,0.022977129946288817
3,0.05,0.11355854321687507,1.0,0.3801666820462071,0.05,0.1998216084552483,1.0,0.2408363595910641,0.05,0.05399316417605894,1.0,0.3267574177936017,0.05,0.05522546784546986,1.0,0.27764408380060035,0.05,0.056493218232913124,1.0,0.3018361882449296,0.05,0.052506165388897935,1.0,0.30547351230495035,0.05,0.055075241069662335,1.0,0.24898497784377546,0.05,0.052439424957196036,1.0,0.2497850980944887,100000,36.20207715034485,1357230,9.454103708267212,0.00024951759492946197,"[0.0002355,0.0002635]",1.4011064932249922e-05,0.028649292321348746,259.96033787727356,0.0011974162344249061,"[0.00113,0.001265]",6.723846724379359e-05,0.02864946995393216
4,0.05,0.11292979841875503,1.0,0.37348229591936977,0.05,0.19085995266155972,1.0,0.24238591457819822,0.05,0.0546366586163983,1.0,0.3306853174522526,0.05,0.05299603968835767,1.0,0.2855392996323618,0.05,0.052379273674960404,1.0,0.2987850948653233,0.05,0.05133685817767486,1.0,0.31783951006133404,0.05,0.05786391186176872,1.0,0.24028800388564783,0.05,0.053130429860401826,1.0,0.26063485180161416,100000,38.258596897125244,1351093,9.454103708267212,0.00023839857446519068,"[0.0002249,0.0002519]",1.3471065074547864e-05,0.02882983843503203,298.4250900745392,0.0011440568886898488,"[0.001079,0.001209]",6.464703136845837e-05,0.02883001675501758
5,0.05,0.11558879374386538,1.0,0.37228688284739897,0.05,0.1956313618578698,1.0,0.2443086953018822,0.05,0.054644632887178766,1.0,0.331997527059577,0.05,0.051814000136143026,1.0,0.29915734504333746,0.05,0.05474106472787731,1.0,0.2896261349316022,0.05,0.04978263814579463,1.0,0.2914104348002245,0.05,0.05524176521166959,1.0,0.25125564737984885,0.05,0.05357265780758086,1.0,0.24196855112537832,100000,41.87187933921814,1348118,9.454103708267212,0.0002408086912562083,"[0.0002301,0.0002516]",1.0749497116886389e-05,0.022775080400643462,340.49620509147644,0.0011556228585094936,"[0.001104,0.001207]",5.158638679279791e-05,0.0227752375306187
6,0.05,0.11896531918075184,1.0,0.3586507381325083,0.05,0.19797011189478028,1.0,0.24919567749281468,0.05,0.05472750204932365,1.0,0.33176119479986405,0.05,0.05260104047550414,1.0,0.32492228095221976,0.05,0.05438757168383485,1.0,0.31060253949001376,0.05,0.052232441267448165,1.0,0.2688936181097689,0.05,0.055500766501713164,1.0,0.2933476585410967,0.05,0.054182186327797685,1.0,0.28289805558418674,100000,41.76537728309631,1347287,9.454103708267212,0.000238869677590484,"[0.0002291,0.0002486]",9.762186860118125e-06,0.02085115043455537,382.4577248096466,0.0011463176772746136,"[0.001099,0.001193]",4.684834336628778e-05,0.020851301935808846
7,0.05,0.11871489644071435,1.0,0.35903621876305325,0.05,0.19793253963848836,1.0,0.2454628744895418,0.05,0.05407007422202697,1.0,0.318394184374887,0.05,0.05453315721353169,1.0,0.325082066229356,0.05,0.05543652543620218,1.0,0.30959692466720734,0.05,0.05526190593307961,1.0,0.2747135486583011,0.05,0.05497780013927014,1.0,0.27288399680796027,0.05,0.053910174133906086,1.0,0.2722276621954852,100000,41.83595609664917,1372556,9.454103708267212,0.00023908863384105181,"[0.0002293,0.0002489]",9.78308073839575e-06,0.02087664161814403,424.4860985279083,0.0011473684319083012,"[0.0011,0.001194]",4.694861199086749e-05,0.020876793189166885
8,0.05,0.12125842466518467,1.0,0.3646977255908956,0.05,0.19939769966514737,1.0,0.24168631025911705,0.05,0.054329466831539816,1.0,0.3239906445713563,0.05,0.05260424113808945,1.0,0.3020267437789801,0.05,0.05565215525523848,1.0,0.32105187729699153,0.05,0.0539772557097412,1.0,0.29771606288758007,0.05,0.05505504424328944,1.0,0.26899011518757676,0.05,0.05690289901971761,1.0,0.2686701001876981,100000,41.7398362159729,1373215,9.454103708267212,0.00023090923693901678,"[0.0002217,0.0002401]",9.224271373804357e-06,0.020381431974698994,466.4213774204254,0.001108116119296558,"[0.001064,0.001152]",4.426691318937079e-05,0.020381582216160307
9,0.05,0.1196086296207688,1.0,0.3697629560525649,0.05,0.2000809418904501,1.0,0.23907116703958806,0.05,0.053712292447266184,1.0,0.30564473600563635,0.05,0.05306544172150956,1.0,0.31069327286581633,0.05,0.05466149241763839,1.0,0.27839658973893705,0.05,0.054464447233284405,1.0,0.2649969206225035,0.05,0.05516619862261346,1.0,0.2743585271724241,0.05,0.05607482858502128,1.0,0.26049786950710246,100000,42.88876032829285,1374375,9.454103708267212,0.00023655085850556617,"[0.0002254,0.0002477]",1.1122320369125639e-05,0.023989146712060525,509.50623393058777,0.0011351898383029377,"[0.001082,0.001189]",5.337553997680837e-05,0.023989307723389967
