,lam1,lam2,lam3,lam4,lam5,lam6,lam7,lam8,mu1,mu2,mu3,mu4,mu5,mu6,mu7,mu8,gamma,RE,n_packets
0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.283379775654391,0.04301423053943337,50928.0
1,0.12212357947777235,0.10728914017013134,0.10413514599219424,0.10761023915303333,0.1070838626279429,0.10466809938651311,0.10723577518167052,0.10867494656007971,0.8094171089434018,0.8846227823667145,0.9219008648616477,0.9487994452596401,0.9229586635399214,0.903399582831439,0.9264459521582803,0.8921112762096256,3.9288297002700197,0.03574355005307974,270857.0
2,0.12641559527129761,0.10882242103201334,0.10605962987119272,0.10872115187181128,0.10775848792795358,0.10690487483539543,0.10846451194856177,0.11050032978562348,0.7756335726560986,0.8616396108953203,0.9071271715997867,0.9259647347618937,0.9118214229741463,0.8897151986643731,0.9155461383622663,0.8740481960420347,4.519235043035655,0.03764919003461075,584380.0
3,0.12820869329897977,0.1099824074633197,0.10564176026753418,0.10918587653624208,0.1089543692512862,0.10754697640852351,0.10980433797536698,0.11029074389020407,0.765381443363436,0.8541156612484281,0.9027693499858667,0.9123721538858929,0.8972748019288409,0.8794435232578158,0.9018713181400853,0.8690511341134185,4.976173518961643,0.041515071957202304,750864.0
4,0.12935920239828194,0.11121375961666669,0.10526190172794322,0.11031203618146936,0.10891831298006263,0.10806976167384903,0.11046296138118958,0.11108300192291014,0.750555654012345,0.850203021672013,0.8937563411445264,0.9066960457362406,0.8905618662977888,0.8698094696498285,0.9010652065033973,0.8622485250334389,5.298703520834123,0.04464310807752465,976614.0
5,0.13111374571635379,0.11296541984373115,0.10605403470065466,0.11059103461233293,0.10988448819532462,0.10929602765653666,0.11028398425902478,0.11172735470464641,0.7444945204496488,0.8435668832910969,0.9004020179972021,0.8931962467713751,0.886049155017124,0.8586077026793103,0.8904702485294947,0.8508646431003577,5.72310729954772,0.04696765419792969,1138835.0
6,0.1328250197405552,0.11365740138119405,0.10695249524597987,0.11164162851071088,0.10974397961383216,0.10979542988920674,0.1104684815330588,0.11226769519571457,0.7326926875345084,0.8344324784896224,0.8922776843790349,0.8902251960843085,0.8900011096717177,0.8529086179721912,0.8845161348277251,0.8491400649107547,6.0383531434498225,0.05573585340497014,1216420.0
7,0.13580386791901686,0.11353617112790619,0.10839726918687127,0.11177459132683637,0.11080526091505005,0.10986045876554722,0.1112776298055016,0.11166525746645926,0.7170315306935466,0.8296033869040554,0.8865463689990779,0.877212549815639,0.884080314438556,0.8436472217479039,0.8741897727623892,0.8387924408819492,7.165696045695933,0.06899292482244632,1316681.0
8,0.1385340833045952,0.11210792610460935,0.10882461254548,0.11173869767644062,0.10935064119127953,0.11019011784892221,0.1105407837083057,0.11391422232371548,0.7021205848135271,0.8230531208099772,0.8682287546666543,0.8796849567515698,0.8773635625484903,0.8281176415276513,0.8588009725532851,0.8355474120372668,10.0,0.15363572637075135,1454023.0
9,0.1892775196328027,0.11035625834620177,0.12088959856137564,0.11734140128390923,0.11907493028846466,0.1142165999226424,0.12041580481009519,0.1181670089713983,0.4017168858929477,0.711356399001901,0.7411320139214774,0.5664526497710217,0.7376622374098989,0.5893775680583188,0.7830399372635746,0.4948942122600865,10.0,0.08563016101950907,10620164.0
