n_cycles,cycle_len,variance,,RE,gamma,n_cycles,nominator,variance,RE,gamma,prob,CI lower,,CI upper,,RE,,,,,cover,,cover,quantile,,CI lower,CI upper,RE,,cover,cover,,
100000,0.84051,0.004785303,,0.005693333,19.774,100000,0.000799529,1.20E-05,0.015022095,19.774,0.000951242,0.00092129,0.000858349,0.000981194,0.001044135,0.016064787,,1.52815E-05,2.33164E-10,2.33524E-10,FALSE,1,0,19.6635154,0.012206847,19.59353253,19.73349827,0.001815827,,FALSE,0,1,1
100000,0.84164,0.004776737,,0.005675511,19.774,100000,0.000813843,1.98E-05,0.024319427,19.774,0.000966973,0.000919643,0.00087408,0.001014303,0.001059866,0.024972904,,2.41481E-05,5.83568E-10,5.83132E-10,TRUE,1,1,19.68858773,0.007295256,19.61905352,19.75812194,0.001801888,,FALSE,0,1,1
100000,0.83262,0.004648144,,0.005582551,19.774,100000,0.000839891,2.60E-05,0.031008068,19.774,0.001008732,0.00094644,0.000915839,0.001071024,0.001101625,0.031506589,,3.17817E-05,1.00682E-09,1.01008E-09,TRUE,1,1,19.79931338,0.000640767,19.72423648,19.87439029,0.00193464,,TRUE,1,0,1
100000,0.83514,0.004761598,,0.005701556,19.774,100000,0.000830197,2.13E-05,0.025640183,19.774,0.000994081,0.000942903,0.000901188,0.001045259,0.001086974,0.026266456,,2.6111E-05,6.82614E-10,6.81784E-10,TRUE,1,1,19.75754814,0.000270664,19.67521356,19.83988273,0.002126146,,TRUE,1,0,1
100000,0.83323,0.004725968,,0.005671865,19.774,100000,0.000825844,1.71E-05,0.02075141,19.774,0.000991136,0.000949345,0.000898243,0.001032927,0.001084029,0.021512579,,2.13219E-05,4.52777E-10,4.54623E-10,TRUE,1,1,19.75029672,0.000561845,19.67521674,19.82537671,0.001939521,,TRUE,1,0,1
100000,0.83913,0.004781287,,0.00569791,19.774,100000,0.000828942,2.19E-05,0.026393993,19.774,0.000987859,0.000935578,0.000894966,0.001040141,0.001080752,0.027002019,,2.66742E-05,7.12812E-10,7.11512E-10,TRUE,1,1,19.73891424,0.001231011,19.6599024,19.81792608,0.002042269,,TRUE,1,0,1
100000,0.83081,0.004703089,,0.005660848,19.774,100000,0.000835793,2.26E-05,0.027013718,19.774,0.001005997,0.000951576,0.000913104,0.001060419,0.00109889,0.027600474,,2.7766E-05,7.724E-10,7.7095E-10,TRUE,1,1,19.77515686,1.33833E-06,19.69610813,19.85420558,0.002039477,,TRUE,1,0,1
100000,0.82567,0.004650633,,0.005632557,19.774,100000,0.0007937,1.23E-05,0.015474017,19.774,0.00096128,0.000930254,0.000868387,0.000992306,0.001054173,0.016467268,,1.58297E-05,2.51237E-10,2.50578E-10,FALSE,1,0,19.67138786,0.010529251,19.59575549,19.74702023,0.001961628,,FALSE,0,1,1
100000,0.8356,0.004708049,,0.005634334,19.774,100000,0.000882148,6.61E-05,0.074943748,19.774,0.001055706,0.000900196,0.000962813,0.001211215,0.001148599,0.075155247,,7.93418E-05,6.29296E-09,6.29513E-09,TRUE,1,1,19.92200717,0.021906122,19.8436402,20.00037413,0.002006984,,FALSE,0,0,0
100000,0.83506,0.004783382,,0.00572819,19.774,100000,0.000834627,2.25E-05,0.027008542,19.774,0.000999482,0.000945395,0.000906589,0.001053568,0.001092375,0.027609301,,2.7595E-05,7.58767E-10,7.61484E-10,TRUE,1,1,19.77105045,8.69985E-06,19.69119544,19.85090546,0.002060708,,TRUE,1,0,1
100000,0.83158,0.004676147,,0.005623207,19.774,100000,0.000804036,1.68E-05,0.02090465,19.774,0.000966878,0.000925854,0.000873985,0.001007902,0.001059771,0.021647744,,2.09307E-05,4.37702E-10,4.38095E-10,TRUE,1,1,19.68586049,0.007768573,19.60925617,19.76246482,0.001985376,,FALSE,0,1,1
100000,0.83175,0.004677266,,0.005623404,19.774,100000,0.000839707,1.51E-05,0.017981036,19.774,0.001009567,0.000972288,0.000916674,0.001046846,0.00110246,0.01883986,,1.90201E-05,3.61816E-10,3.61764E-10,TRUE,1,1,19.79798089,0.000575083,19.7161238,19.87983799,0.002109499,,TRUE,1,0,1
100000,0.82362,0.004680994,,0.005683438,19.774,100000,0.000821675,1.27E-05,0.01542916,19.774,0.000997639,0.000965487,0.000904746,0.00102979,0.001090532,0.016442641,,1.64038E-05,2.69917E-10,2.69085E-10,TRUE,1,1,19.76838101,3.1573E-05,19.699659,19.83710302,0.001773653,,TRUE,1,0,1
100000,0.83494,0.004730027,,0.00566511,19.774,100000,0.00081241,1.50E-05,0.01844872,19.774,0.000973016,0.000936211,0.000880123,0.001009821,0.001065909,0.019298931,,1.87782E-05,3.53139E-10,3.5262E-10,TRUE,1,1,19.70086325,0.005348984,19.62569969,19.77602681,0.001946552,,TRUE,1,0,1
100000,0.83633,0.004731197,,0.005657093,19.774,100000,0.000812152,1.47E-05,0.018143362,19.774,0.00097109,0.000934918,0.000878197,0.001007263,0.001063983,0.019004849,,1.84554E-05,3.39123E-10,3.40602E-10,TRUE,1,1,19.69470524,0.006287659,19.62017059,19.7692399,0.001930868,,FALSE,0,1,1
100000,0.8351,0.004807669,,0.005756998,19.774,100000,0.000882948,5.73E-05,0.064951991,19.774,0.001057296,0.000922168,0.000964403,0.001192424,0.001150189,0.065206626,,6.89427E-05,4.745E-09,4.7531E-09,TRUE,1,1,19.9349418,0.025902263,19.85670665,20.01317695,0.002002308,,FALSE,0,0,0
100000,0.83085,0.004662637,,0.005611888,19.774,100000,0.000816192,1.65E-05,0.020269774,19.774,0.000982358,0.000941862,0.000889465,0.001022854,0.001075251,0.021032285,,2.06612E-05,4.24779E-10,4.26887E-10,TRUE,1,1,19.7225073,0.002651498,19.65296423,19.79205038,0.001799019,,TRUE,1,0,1
100000,0.83519,0.00467156,,0.00559341,19.774,100000,0.000864138,4.52E-05,0.052298033,19.774,0.00103466,0.000927998,0.000941767,0.001141322,0.001127553,0.052596297,,5.44193E-05,2.9624E-09,2.96146E-09,TRUE,1,1,19.86577076,0.008421872,19.79047479,19.94106672,0.001933794,,FALSE,0,0,0
100000,0.83684,0.004731468,,0.00565397,19.774,100000,0.000817428,1.45E-05,0.017749087,19.774,0.000976803,0.000941139,0.00088391,0.001012467,0.001069696,0.018627868,,1.81958E-05,3.30729E-10,3.31086E-10,TRUE,1,1,19.73831868,0.001273157,19.66171779,19.81491957,0.001980011,,TRUE,1,0,1
100000,0.82655,0.004657193,,0.005634497,19.774,100000,0.00083111,1.70E-05,0.020430197,19.774,0.001005517,0.00096375,0.000912624,0.001047284,0.00109841,0.021192936,,2.13099E-05,4.55118E-10,4.5411E-10,TRUE,1,1,19.79285401,0.000355474,19.71750461,19.86820341,0.001942296,,TRUE,1,0,1
100000,0.84041,0.004817552,,0.005732383,19.774,100000,0.000811184,1.55E-05,0.019116387,19.774,0.000965225,0.000927469,0.000872332,0.001002981,0.001058118,0.019957366,,1.92633E-05,3.70773E-10,3.71077E-10,TRUE,1,1,19.69380491,0.006431252,19.61919733,19.76841248,0.001932846,,FALSE,0,1,1
100000,0.83295,0.004698834,,0.005641196,19.774,100000,0.000861883,3.66E-05,0.042508881,19.774,0.001034736,0.000947769,0.000941843,0.001121703,0.001127629,0.042881559,,4.43711E-05,1.96481E-09,1.96879E-09,TRUE,1,1,19.86812371,0.008859273,19.7951973,19.94105013,0.001872716,,FALSE,0,0,0
100000,0.838,0.00474889,,0.005666934,19.774,100000,0.00081873,1.61E-05,0.019604519,19.774,0.000977004,0.000937926,0.000884111,0.001016083,0.001069897,0.020407139,,1.99379E-05,3.99771E-10,3.97518E-10,TRUE,1,1,19.70637008,0.004573806,19.63110896,19.78163119,0.001948534,,TRUE,1,0,1
100000,0.84084,0.004731921,,0.005627612,19.774,100000,0.00080221,1.32E-05,0.016460765,19.774,0.000954058,0.000921528,0.000861165,0.000986588,0.001046951,0.017396172,,1.6597E-05,2.75273E-10,2.75459E-10,FALSE,1,0,19.65414006,0.014366405,19.58096601,19.7273141,0.001899533,,FALSE,0,1,1
100000,0.83692,0.004705725,,0.00562267,19.774,100000,0.000831094,1.46E-05,0.017604255,19.774,0.000993038,0.000957069,0.000900145,0.001029008,0.001085931,0.018480373,,1.83517E-05,3.35501E-10,3.36785E-10,TRUE,1,1,19.75308296,0.000437523,19.67873362,19.8274323,0.001920376,,TRUE,1,0,1
