n_cycles,cycle_len,variance,RE,gamma,n_cycles,nominator,variance,RE,gamma,prob,CI lower,CI upper,RE,cover,RE,quantile,CI lower,CI upper,cover,cover,cover
100000,0.62602,0.003769057,0.006020665,9.5247,100000,0.000613895,1.30E-05,0.021102135,9.5247,0.000980631,0.000938453,0.001022809,0.021944323,TRUE,9.502593849,9.468523875,9.536663823,0.001829252,TRUE,1,1
100000,0.62392,0.003690615,0.005915205,9.5247,100000,0.000661376,2.12E-05,0.032032405,9.5247,0.001060033,0.000992355,0.001127711,0.032574149,TRUE,9.599968199,9.56138622,9.638550178,0.002050495,FALSE,1,0
100000,0.6152,0.003706547,0.006024946,9.5247,100000,0.000602418,9.43E-06,0.015645292,9.5247,0.000979224,0.000947046,0.001011401,0.016765379,TRUE,9.494129173,9.458922634,9.529335712,0.001891961,TRUE,1,1
100000,0.62856,0.00379612,0.006039391,9.5247,100000,0.000635734,1.40E-05,0.022098198,9.5247,0.001011414,0.000966,0.001056827,0.022908729,TRUE,9.539517852,9.50060019,9.578435513,0.002081442,TRUE,1,1
100000,0.6269,0.003837025,0.006120634,9.5247,100000,0.000621094,1.10E-05,0.017699902,9.5247,0.000990738,0.000954371,0.001027106,0.01872838,TRUE,9.513910909,9.478163555,9.549658263,0.001917029,TRUE,1,1
100000,0.62001,0.003742349,0.006035949,9.5247,100000,0.000601645,8.18E-06,0.013603676,9.5247,0.00097038,0.000942074,0.000998686,0.014882705,FALSE,9.482709735,9.446583896,9.518835574,0.001943701,FALSE,0,0
100000,0.62017,0.003686027,0.005943574,9.5247,100000,0.000620889,1.20E-05,0.019283901,9.5247,0.00100116,0.000961563,0.001040757,0.020179172,TRUE,9.527283424,9.489966168,9.564600679,0.00199841,TRUE,1,1
100000,0.62672,0.003719384,0.005934683,9.5247,100000,0.000633749,1.88E-05,0.029589794,9.5247,0.001011215,0.000951401,0.00107103,0.030179222,TRUE,9.539778971,9.50237652,9.577181421,0.002000349,TRUE,1,1
100000,0.63003,0.003792614,0.006019736,9.5247,100000,0.000614842,1.02E-05,0.01658921,9.5247,0.000975894,0.000942138,0.00100965,0.017647726,TRUE,9.490130136,9.454252121,9.526008151,0.001928858,TRUE,1,1
100000,0.63059,0.003793292,0.006015465,9.5247,100000,0.000618345,1.44E-05,0.023290989,9.5247,0.000980581,0.000934348,0.001026814,0.024055389,TRUE,9.492526484,9.455332381,9.529720587,0.001999108,TRUE,1,1
100000,0.62021,0.003708624,0.005979627,9.5247,100000,0.000667671,5.86E-05,0.087724287,9.5247,0.001076524,0.000890996,0.001262051,0.087928287,TRUE,9.627789451,9.584894931,9.670683971,0.002273103,FALSE,1,0
100000,0.62552,0.003744015,0.005985444,9.5247,100000,0.000586817,8.59E-06,0.014638003,9.5247,0.000938127,0.000909048,0.000967206,0.015814525,FALSE,9.447402847,9.413026076,9.481779619,0.001856507,FALSE,0,0
100000,0.62013,0.003730963,0.006016421,9.5247,100000,0.000612614,1.10E-05,0.018036911,9.5247,0.000987881,0.000951065,0.001024696,0.019013971,TRUE,9.506662664,9.470715015,9.542610314,0.00192924,TRUE,1,1
100000,0.62004,0.003736108,0.006025592,9.5247,100000,0.000641943,2.29E-05,0.035732603,9.5247,0.001035326,0.000961792,0.00110886,0.036237271,TRUE,9.572970996,9.533662383,9.61227961,0.002095004,FALSE,1,0
100000,0.62404,0.003773108,0.006046259,9.5247,100000,0.000650474,2.35E-05,0.0360828,9.5247,0.001042359,0.000967613,0.001117105,0.03658605,TRUE,9.57709606,9.538485712,9.615706408,0.002056903,FALSE,1,0
100000,0.62309,0.003734553,0.005993602,9.5247,100000,0.000617066,9.91E-06,0.016062541,9.5247,0.000990332,0.000957053,0.00102361,0.017144429,TRUE,9.510992437,9.474674509,9.547310365,0.001948225,TRUE,1,1
100000,0.62602,0.003759041,0.006004666,9.5247,100000,0.000597392,1.24E-05,0.020735482,9.5247,0.000954269,0.000913893,0.000994646,0.021587517,FALSE,9.473063298,9.438643007,9.507483588,0.001853822,FALSE,0,0
100000,0.62789,0.003813272,0.006073153,9.5247,100000,0.000607864,9.75E-06,0.016042551,9.5247,0.000968105,0.000935556,0.001000654,0.017153704,TRUE,9.487828944,9.452816664,9.522841224,0.001882771,FALSE,1,0
100000,0.62358,0.003735114,0.005989792,9.5247,100000,0.000605714,1.04E-05,0.017194829,9.5247,0.00097135,0.000936684,0.001006016,0.018208324,TRUE,9.484845229,9.446215892,9.523474566,0.00207793,FALSE,1,0
100000,0.62387,0.00378729,0.006070639,9.5247,100000,0.000673729,4.69E-05,0.06958351,9.5247,0.001079918,0.000932075,0.001227762,0.069848167,TRUE,9.608805756,9.565488851,9.652122662,0.002300022,FALSE,1,0
100000,0.62151,0.00374288,0.006022237,9.5247,100000,0.000626039,1.23E-05,0.01967735,9.5247,0.001007288,0.00096666,0.001047915,0.020578379,TRUE,9.533878624,9.497630715,9.570126534,0.001939801,TRUE,1,1
100000,0.62963,0.0038062,0.006045138,9.5247,100000,0.000618188,1.19E-05,0.019266541,9.5247,0.000981828,0.000942969,0.001020686,0.020192755,TRUE,9.496352521,9.461106243,9.531598799,0.001893653,TRUE,1,1
100000,0.62818,0.003762539,0.005989587,9.5247,100000,0.000608004,9.70E-06,0.015954025,9.5247,0.000967881,0.000935553,0.001000209,0.01704139,TRUE,9.480139997,9.445337244,9.514942751,0.001873022,FALSE,1,0
100000,0.62837,0.003741846,0.005954845,9.5247,100000,0.000611097,9.95E-06,0.01628943,9.5247,0.000972512,0.000939452,0.001005571,0.017343838,TRUE,9.480689353,9.445466865,9.515911842,0.001895501,FALSE,1,0
100000,0.62653,0.003764293,0.006008161,9.5247,100000,0.000629469,1.28E-05,0.020315022,9.5247,0.001004691,0.000962974,0.001046409,0.021184962,TRUE,9.528020159,9.488509392,9.567530926,0.002115713,TRUE,1,1
100000,0.62413,0.003737073,0.005987652,9.5247,100000,0.000602293,8.00E-06,0.013281914,9.5247,0.000965012,0.000937456,0.000992569,0.01456926,FALSE,9.480668798,9.445440488,9.515897108,0.001895819,FALSE,0,0
100000,0.62229,0.003706461,0.005956163,9.5247,100000,0.000617847,1.79E-05,0.028905902,9.5247,0.00099286,0.000935427,0.001050293,0.029513315,TRUE,9.515634065,9.47998901,9.551279121,0.001911197,TRUE,1,1
100000,0.62581,0.003741566,0.005978758,9.5247,100000,0.000626967,1.37E-05,0.02183312,9.5247,0.001001849,0.000957398,0.001046299,0.022637045,TRUE,9.527654065,9.491917215,9.563390915,0.001913702,TRUE,1,1
100000,0.62611,0.003742053,0.005976671,9.5247,100000,0.000627068,1.81E-05,0.028901222,9.5247,0.001001531,0.000943597,0.001059465,0.029512877,TRUE,9.526249004,9.489718809,9.5627792,0.001956474,TRUE,1,1
