,lam1,lam2,lam3,lam4,mu1,mu2,mu3,mu4,gamma,RE,n_packets
0,0.6,0.2,0.2,0.2,2.0,1.0,2.0,2.0,1.3128965362638754,0.04222097257622944,33260.0
1,0.666473632125646,0.28255148068981706,0.2251686155570851,0.28765416256118576,1.5582780434613477,0.6506872253692311,1.550889993559385,1.5894789778512455,3.0,0.02718323046361285,99306.0
2,0.7579463441899055,0.3259830309635727,0.24243688205742675,0.3338794079159229,1.4974552716206562,0.6332123392794329,1.5145431542792185,1.4334207971795168,3.0,0.029951121430076603,131866.0
3,0.7512330973610026,0.32219846532385793,0.240969412953242,0.3536230509170553,1.4699737627125686,0.618515975958962,1.398216511527223,1.3630162995945272,3.0,0.02667782795023459,140104.0
4,0.7513271678144553,0.33383091027408696,0.23719550077731633,0.35555470055940575,1.4551279028242312,0.6262926452859052,1.4772509746137472,1.29112387243924,3.0,0.025404771996425685,139151.0
5,0.7729230766134709,0.32508415765353055,0.25143594476473125,0.3708717394741961,1.4522618048585378,0.6265016723341663,1.5180951966741363,1.309339012446682,3.0,0.02724306053076547,141545.0
6,0.7646385341692377,0.32321438854675444,0.24638257905739117,0.37212653415652747,1.455036601311785,0.6286214154502535,1.5146175945868023,1.2828152275522589,3.0,0.031252080754220625,137658.0
7,0.7512569900912252,0.32728496739120616,0.2371735677293012,0.34750847981836464,1.4570141236526082,0.6101850970095137,1.5092382088798761,1.2735129796659928,3.0,0.026127967935476653,140215.0
8,0.765125834759242,0.323053929717932,0.24695338204006556,0.3541173193443259,1.459717501725987,0.6156654218431374,1.4998744633872587,1.2948624895254823,3.0,0.026199101777225033,143768.0
9,0.7634901151745463,0.32701841908070184,0.24279279309293614,0.36558099607863,1.4514259531529439,0.6298822923713386,1.4382765000663578,1.2475807271368193,3.0,0.029714489639414633,146230.0
10,0.757056038322328,0.320870841120882,0.2380730670362178,0.35919208487500853,1.4575552683782966,0.6209772553730114,1.4921549932541898,1.2356926629470246,3.0,0.00865702710002615,1391126.0
