,lam1,lam2,mu1,mu2,gamma,RE,n_packets
0,0.6,0.2,2.0,1.0,0.4203286697882449,0.03960738136395955,19579.0
1,0.6467222347427592,0.6068121415581987,1.2139431998589518,0.49562823214746565,6.085216275884997,0.032513234477402,111228.0
2,0.812539950518454,0.6063637080612153,1.3003745706328667,0.46005461518304824,10.0,0.03142230431609449,172702.0
3,0.8579635666343839,0.598874493858862,1.36732125852657,0.45139707959312175,10.0,0.029697205909879388,174172.0
4,0.8548768050310275,0.595956999391559,1.3548163342861383,0.4424548017276937,10.0,0.029218748393943894,173452.0
5,0.8346717833566575,0.5930684974939058,1.3215472996403548,0.4443696891741444,10.0,0.03991523131020951,172730.0
6,0.8218541167513166,0.5794405972468999,1.3327347254389867,0.44279144215162247,10.0,0.032821963313434815,167446.0
7,0.8322218201706781,0.5843749044133301,1.3480934126905872,0.4441133381685531,10.0,0.02988859139272623,170237.0
8,0.8318109824539396,0.5815494531629674,1.33960154672608,0.44214430457112647,10.0,0.04287389712029397,170138.0
9,0.8284628094032689,0.5854941834832096,1.3380612978800572,0.44642027210835306,10.0,0.06470745027441839,171044.0
10,0.8017380259860238,0.579801196549211,1.3665636797944918,0.4237711449316795,10.0,0.011143060080401869,1678320.0
