,lam1,lam2,mu1,mu2,gamma,RE,n_packets
0,0.6,0.2,2.0,1.0,1.0434363906166457,0.042910077108766397,19895.0
1,0.8840100406485187,0.29892613376497124,0.9365218739430863,0.3993874776511851,3.985710620598753,0.04034992605979132,103538.0
2,0.8810241295663923,0.39490196805815425,1.0099012599179655,0.26194401555273267,5.0,0.03776825633654152,166470.0
3,0.8966711886702404,0.4691298360941202,1.0084292173576572,0.22999152842545012,5.0,0.04739018723510062,191337.0
4,0.8774136484006102,0.5082743687285836,1.1383704207492795,0.24057315875350602,5.0,0.03474126567601267,204172.0
5,0.8990124421142511,0.5662102488308848,1.0409778393550952,0.2331948033969581,5.0,0.038343420392636565,225648.0
6,0.8846447601030171,0.5971304311765951,1.0440028426817265,0.24049068564038886,5.0,0.04236150179501143,232126.0
7,0.8698673033018278,0.6084536632454092,1.0802811044957132,0.23846328815936632,5.0,0.05418314456689308,235418.0
8,0.8489504860665386,0.6037293159212148,1.0307365629678933,0.23428004015912732,5.0,0.04080172538622573,238135.0
9,0.9426604640381608,0.5951594001986192,1.1047306862028217,0.2483297381546687,5.0,0.03613527959681369,235052.0
10,0.8998870926555549,0.6142637224394023,1.0758906952016303,0.2424444477171096,5.0,0.01306955228506666,2382201.0
